,cloudcover,day,daylight_minutes,dew,feelslike,feelslikemax,feelslikemin,humidity,is_weekend,month,precip,precipcover,precipprob,sealevelpressure,severerisk,snow,snowdepth,solarenergy,solarradiation,sunrise_minutes,sunset_minutes,temp,tempmax,tempmin,uvindex,visibility,weekday,winddir,windgust,windspeed,year
precip,0.32501955105358954,-0.015319666440178247,0.03317819944770019,0.18008031088030851,0.05056807408446955,0.03499676249631351,0.08782351312866019,0.41045451293706975,-0.0055644010556321075,0.03254375056068765,1.0,0.7110455206395098,0.4591105320859978,-0.18748014470188226,0.10261815673423932,0.049199662441185,0.0009412912041220037,-0.28460430118177976,-0.2842588704000657,-0.03165751279188956,0.032186826195226684,0.05121183546106405,0.017112859414860904,0.09821766163090054,-0.3122974799516161,-0.4759003979441709,0.02210178720671609,-0.17598003843480725,0.25520240739249483,0.1655963659766345,-0.07222733556902332
precipcover,0.5045404336387646,-0.010015430438577,-0.026161558652499195,0.15358123879609809,-0.040776947640039,-0.08347429464687112,0.02454260362459919,0.577942844548838,0.012063565554493089,-0.01606365730192252,0.7110455206395098,1.0,0.687655149848276,-0.2659478085411796,0.023936948952141504,0.19282943748989997,0.0930783020378095,-0.42136941614900825,-0.42116154009011747,0.033155205772077846,-0.021807563030907872,-0.042178560281012245,-0.1026342332866945,0.03442751795489387,-0.46710281685612354,-0.6502842082206501,0.04601199306666478,-0.2172782766707118,0.2106635759148564,0.15536808941346533,-0.017013606639284952
precipprob,0.5030244884932906,0.028020659999916337,0.08706885998250936,0.2824006090890746,0.11604099451204065,0.08193860801907014,0.1792318527291384,0.5365984550328091,-0.009319902289141613,-0.02103143393810806,0.4591105320859978,0.687655149848276,1.0,-0.3782021715587759,0.15861888158226214,0.09917450929083875,0.04603464644481039,-0.34323254337313086,-0.343214831125058,-0.07178410560202271,0.08939176865221643,0.11566724411869034,0.05609110066249901,0.19252655319753428,-0.33379790553807637,-0.3788714034458823,-0.003978070151472641,-0.09730775810298689,0.2719494599114966,0.17057777904816576,-0.006781027329551813
sealevelpressure,-0.28396800205242945,0.02992500120425006,-0.2575719825975707,-0.34875005765913336,-0.3147405030656747,-0.2873064937329695,-0.3328533255590977,-0.2221664447888739,-0.006430482728149985,0.07901688364821075,-0.18748014470188226,-0.2659478085411796,-0.3782021715587759,1.0,-0.17635825646224468,0.002556495766697271,0.05767645753604297,0.051395670223874694,0.05103327658374547,0.20513159687863217,-0.26759369873289546,-0.32144254258708815,-0.2863521857406819,-0.34503210867901624,0.00942173239934653,0.15417564450663962,-0.01610874442282191,-0.19027844228286292,-0.3747022744353896,-0.3025353626255489,-0.11149217905985208
severerisk,0.08469331970000807,-0.021370881852408406,0.39599255246457704,0.5190860506415402,0.5048069402325295,0.5333498603351476,0.4908886929996889,0.2204991469565715,0.017178735672817264,0.12158536773648496,0.10261815673423932,0.023936948952141504,0.15861888158226214,-0.17635825646224468,1.0,-0.036333004341894834,-0.048593818707644884,-0.06089066510880794,-0.05941796560292255,-0.3806217098848953,0.38281858076255765,0.5001969772226669,0.4839688716314752,0.516134023711583,0.05244378392678466,0.07200357273791957,0.0034910844555265724,-0.028438326058949793,0.07195335354769268,-0.02408362092802325,-0.14422720842109021
snow,0.07645125054413082,-0.005489142139890414,-0.11220501902460006,-0.1244523549040389,-0.17786629542766308,-0.17623450479876546,-0.16320226882150607,0.06691712208292777,-0.0073676393032016075,-0.13373903063972653,0.049199662441185,0.19282943748989997,0.09917450929083875,0.002556495766697271,-0.036333004341894834,1.0,0.5594642300102095,-0.11004111954000716,-0.10972728683612622,0.0995421219871112,-0.11213129737456051,-0.16861059974757187,-0.18012029078806557,-0.15094714257158803,-0.11054649942957574,-0.2727908364743174,-0.018621105425233826,0.033173114986267405,0.027806583586885883,0.05725138660915788,0.05059201016690275
snowdepth,0.034162155962267376,-0.019552128189320433,-0.16461951436053704,-0.1933543876774166,-0.2469769584433785,-0.24816049254726377,-0.2302513517251598,0.025197963337451123,-0.022322211577789183,-0.19797921127572293,0.0009412912041220037,0.0930783020378095,0.04603464644481039,0.05767645753604297,-0.048593818707644884,0.5594642300102095,1.0,-0.10670101097403972,-0.10673445925918268,0.15321379241611943,-0.16138396457097187,-0.23713855283913723,-0.2506789589936448,-0.21682992376522214,-0.10766504886725206,-0.1594731435843775,-0.025563055947656708,0.02395089600062678,0.014382921436599508,0.022106426245724908,0.05102316961012537
solarenergy,-0.4641697699025889,-0.019950569018668197,0.3872181117012573,0.06762307149975391,0.2673032026724538,0.3153344940693729,0.18873761843079517,-0.4639648687796479,-0.017121103793676866,-0.11892850159833561,-0.28460430118177976,-0.42136941614900825,-0.34323254337313086,0.051395670223874694,-0.06089066510880794,-0.11004111954000716,-0.10670101097403972,1.0,0.9998206344990312,-0.33682708299244113,0.3898814101257194,0.27403058840899036,0.3422407759422001,0.18316279142090647,0.8778243316655003,0.3140736124758397,-0.03127078747198087,0.1441328800406418,-0.051775994982639524,0.01875046554618061,0.3501984506010141
solarradiation,-0.46455513789407726,-0.019924447424609085,0.3893208139267703,0.06849917154902481,0.26846386322497034,0.3164802194271927,0.18983895641265927,-0.46433077897967084,-0.01726244984962628,-0.11966800110129484,-0.2842588704000657,-0.42116154009011747,-0.343214831125058,0.05103327658374547,-0.05941796560292255,-0.10972728683612622,-0.10673445925918268,0.9998206344990312,1.0,-0.33875453575161096,0.39195567470060605,0.2752652248230453,0.3434339691962404,0.1843857077388943,0.8779474188034295,0.31387266795455665,-0.03126125005554862,0.14361830702844597,-0.05139815203344027,0.0191040015885585,0.3492671766231676
sunrise_minutes,0.012593068130489259,0.03900558044646389,-0.9195546888448306,-0.6006073232235078,-0.6936098276730646,-0.6776824925955192,-0.6743060696031481,0.005441415793399978,0.0007250420056635209,0.12113687037715079,-0.03165751279188956,0.033155205772077846,-0.07178410560202271,0.20513159687863217,-0.3806217098848953,0.0995421219871112,0.15321379241611943,-0.33682708299244113,-0.33875453575161096,1.0,-0.83862426560234,-0.704233144621257,-0.6886830918789755,-0.6821171475708233,-0.3472920630250325,-0.10202104533587217,0.0005858312930341391,0.07106190603573365,0.004561370951252283,0.024652781841654384,-0.018413413394605196
sunset_minutes,-0.012038768148791557,0.016248544617182014,0.9852113636852796,0.6910343531610299,0.7873114876211711,0.7680472742312308,0.7724562647611486,0.030214163903498178,-0.0005182769729817745,-0.16705577250178386,0.032186826195226684,-0.021807563030907872,0.08939176865221643,-0.26759369873289546,0.38281858076255765,-0.11213129737456051,-0.16138396457097187,0.3898814101257194,0.39195567470060605,-0.83862426560234,1.0,0.7979033175161114,0.7806059520393388,0.7796544347033766,0.4073607740246479,0.1061068404385247,5.738595727187403e-05,-0.10051049876394207,-0.002387283680866012,-0.025985536966768676,0.04211212562887638
temp,-0.0017341673271601373,0.00021755418273406395,0.7971419319088575,0.9390281558883522,0.9968995917997648,0.9766865096886335,0.9818054484237484,0.2364849419870145,-0.02745336697288258,0.20729447780750349,0.05121183546106405,-0.042178560281012245,0.11566724411869034,-0.32144254258708815,0.5001969772226669,-0.16861059974757187,-0.23713855283913723,0.27403058840899036,0.2752652248230453,-0.704233144621257,0.7979033175161114,1.0,0.9817425128390503,0.9822144937267299,0.3410346739960081,0.12110165760645734,-0.008292113138592357,-0.10242588468384246,-0.06742629109757206,-0.13699687430799215,-0.046364292484905256
tempmax,-0.08832599594300719,-0.005423259557735278,0.7797719518943332,0.9002841560560345,0.9806224050490565,0.9918911333940342,0.9403411721110558,0.17393736042692676,-0.03548265661267808,0.19320316365057702,0.017112859414860904,-0.1026342332866945,0.05609110066249901,-0.2863521857406819,0.4839688716314752,-0.18012029078806557,-0.2506789589936448,0.3422407759422001,0.3434339691962404,-0.6886830918789755,0.7806059520393388,0.9817425128390503,1.0,0.9362591769919218,0.41353273915778654,0.164288808867828,-0.01408393991091491,-0.08559301666474889,-0.0676508374854876,-0.1368586129858124,-0.03904966228109202
tempmin,0.10054285616742402,0.007454379699413213,0.77702013775315,0.9550124858607905,0.9780423958590594,0.9368132264448423,0.9946947136420645,0.32141743401035056,-0.01999774229584151,0.21734483421427808,0.09821766163090054,0.03442751795489387,0.19252655319753428,-0.34503210867901624,0.516134023711583,-0.15094714257158803,-0.21682992376522214,0.18316279142090647,0.1843857077388943,-0.6821171475708233,0.7796544347033766,0.9822144937267299,0.9362591769919218,1.0,0.2481373904108248,0.06241681392376886,-0.0053143297602645636,-0.1277576169808248,-0.05955227841510336,-0.1355522715690071,-0.05664261429665886
uvindex,-0.5093139107079481,-0.030974667492379614,0.40311983371881244,0.12348038747838823,0.33273292650739145,0.38834116009218583,0.2510415237523301,-0.477114481518481,-0.024244004548568263,-0.06663312503646032,-0.3122974799516161,-0.46710281685612354,-0.33379790553807637,0.00942173239934653,0.05244378392678466,-0.11054649942957574,-0.10766504886725206,0.8778243316655003,0.8779474188034295,-0.3472920630250325,0.4073607740246479,0.3410346739960081,0.41353273915778654,0.2481373904108248,1.0,0.388654564057822,-0.04003153722814388,0.20597255003072024,-0.01685696800422758,0.02958138024079846,0.32320801686912887
visibility,-0.38603121632146586,-0.011246210452604847,0.10863865421314002,-0.055512133539289854,0.11609403423017488,0.15303304736291506,0.06240944956207514,-0.5076847212824597,-0.006145740056222091,0.04647611727870966,-0.4759003979441709,-0.6502842082206501,-0.3788714034458823,0.15417564450663962,0.07200357273791957,-0.2727908364743174,-0.1594731435843775,0.3140736124758397,0.31387266795455665,-0.10202104533587217,0.1061068404385247,0.12110165760645734,0.164288808867828,0.06241681392376886,0.388654564057822,1.0,-0.03534896533962545,0.2236490801001149,-0.018540067215279555,0.003448614641607214,-0.030829991509653373
weekday,0.02934707520957727,1.1035460023279401e-07,-0.00014287931036271586,-0.0008751671580605595,-0.010968460510123132,-0.017045549390595324,-0.007016191253518849,0.01952117451975225,0.7905150082165373,0.0017514910399383733,0.02210178720671609,0.04601199306666478,-0.003978070151472641,-0.01610874442282191,0.0034910844555265724,-0.018621105425233826,-0.025563055947656708,-0.03127078747198087,-0.03126125005554862,0.0005858312930341391,5.738595727187403e-05,-0.008292113138592357,-0.01408393991091491,-0.0053143297602645636,-0.04003153722814388,-0.03534896533962545,1.0,-0.06855792906930239,0.0013482859627782025,0.018584373166743932,-0.0010593099511278122
winddir,-0.23148526286274762,-0.031346713261717084,-0.09486290139604459,-0.22101519045392123,-0.11939174197505074,-0.09891146239927838,-0.1456359549578776,-0.3796677834299483,-0.0349968340797209,-0.025468507229938053,-0.17598003843480725,-0.2172782766707118,-0.09730775810298689,-0.19027844228286292,-0.028438326058949793,0.033173114986267405,0.02395089600062678,0.1441328800406418,0.14361830702844597,0.07106190603573365,-0.10051049876394207,-0.10242588468384246,-0.08559301666474889,-0.1277576169808248,0.20597255003072024,0.2236490801001149,-0.06855792906930239,1.0,0.33971155146660464,0.336543432445198,0.003520572050900144
windgust,0.08122802610127876,-0.005729443518830429,-0.003157040948052951,-0.11458933778200199,-0.08557878634089464,-0.06068857097042355,-0.09361217963935432,-0.1547405464573129,-0.000289572732603317,-0.14148004969371675,0.25520240739249483,0.2106635759148564,0.2719494599114966,-0.3747022744353896,0.07195335354769268,0.027806583586885883,0.014382921436599508,-0.051775994982639524,-0.05139815203344027,0.004561370951252283,-0.002387283680866012,-0.06742629109757206,-0.0676508374854876,-0.05955227841510336,-0.01685696800422758,-0.018540067215279555,0.0013482859627782025,0.33971155146660464,1.0,0.824999116645262,-0.04207525453309623
windspeed,0.046134509478494796,-0.017078161255681977,-0.026501098357663528,-0.2012345771537517,-0.15918880937612376,-0.13848041834518024,-0.17262104067941147,-0.23379368714523374,0.0135186156488189,-0.19141711894108904,0.1655963659766345,0.15536808941346533,0.17057777904816576,-0.3025353626255489,-0.02408362092802325,0.05725138660915788,0.022106426245724908,0.01875046554618061,0.0191040015885585,0.024652781841654384,-0.025985536966768676,-0.13699687430799215,-0.1368586129858124,-0.1355522715690071,0.02958138024079846,0.003448614641607214,0.018584373166743932,0.336543432445198,0.824999116645262,1.0,0.03412619696325246
year,0.0740806567649138,-0.002275915040918795,0.0361724086863746,-0.07452649843907451,-0.04747433099888864,-0.04308496934058174,-0.05605303323267858,-0.09377122402684375,-0.0006655884028029146,-0.29971930348933584,-0.07222733556902332,-0.017013606639284952,-0.006781027329551813,-0.11149217905985208,-0.14422720842109021,0.05059201016690275,0.05102316961012537,0.3501984506010141,0.3492671766231676,-0.018413413394605196,0.04211212562887638,-0.046364292484905256,-0.03904966228109202,-0.05664261429665886,0.32320801686912887,-0.030829991509653373,-0.0010593099511278122,0.003520572050900144,-0.04207525453309623,0.03412619696325246,1.0
